timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553154635.10348,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154635.109248,31.3.237.190,192.168.137.186,benign,31.3.237.190,719
1553154635.109324,31.3.237.190,192.168.137.186,benign,31.3.237.190,97
1553154635.111227,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154635.111742,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154635.111742,192.168.137.186,31.3.237.190,benign,31.3.237.190,97
1553154635.113273,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154635.113274,192.168.137.186,31.3.237.190,benign,31.3.237.190,54
1553154635.116212,192.168.137.186,31.3.237.190,benign,31.3.237.190,74
1553154635.250832,31.3.237.190,192.168.137.186,benign,31.3.237.190,54
1553154635.257961,31.3.237.190,192.168.137.186,benign,31.3.237.190,74
1553154635.26006,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154635.26006,192.168.137.186,31.3.237.190,benign,31.3.237.190,583
1553154635.404042,31.3.237.190,192.168.137.186,benign,31.3.237.190,207
1553154635.408265,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154635.408265,192.168.137.186,31.3.237.190,benign,31.3.237.190,117
1553154635.587303,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154635.589945,192.168.137.186,31.3.237.190,benign,31.3.237.190,741
1553154635.726162,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154635.732188,31.3.237.190,192.168.137.186,benign,31.3.237.190,627
1553154635.732321,31.3.237.190,192.168.137.186,benign,31.3.237.190,97
1553154635.732978,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154635.735211,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154635.740478,192.168.137.186,31.3.237.190,benign,31.3.237.190,97
1553154635.740478,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154635.743065,192.168.137.186,31.3.237.190,benign,31.3.237.190,74
1553154635.876991,31.3.237.190,192.168.137.186,benign,31.3.237.190,54
1553154635.880975,31.3.237.190,192.168.137.186,benign,31.3.237.190,74
1553154635.883419,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154635.886181,192.168.137.186,31.3.237.190,benign,31.3.237.190,583
1553154636.028324,31.3.237.190,192.168.137.186,benign,31.3.237.190,207
1553154636.030953,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154636.030954,192.168.137.186,31.3.237.190,benign,31.3.237.190,117
1553154636.215067,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154636.217199,192.168.137.186,31.3.237.190,benign,31.3.237.190,736
1553154636.352516,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154636.356742,31.3.237.190,192.168.137.186,benign,31.3.237.190,789
1553154636.35694,31.3.237.190,192.168.137.186,benign,31.3.237.190,97
1553154636.358186,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154636.365301,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154636.365302,192.168.137.186,31.3.237.190,benign,31.3.237.190,97
1553154636.365302,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154636.370355,192.168.137.186,31.3.237.190,benign,31.3.237.190,74
1553154636.502072,31.3.237.190,192.168.137.186,benign,31.3.237.190,54
1553154636.512252,31.3.237.190,192.168.137.186,benign,31.3.237.190,74
1553154636.515533,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154636.517467,192.168.137.186,31.3.237.190,benign,31.3.237.190,583
1553154636.660282,31.3.237.190,192.168.137.186,benign,31.3.237.190,207
1553154636.663288,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154636.663289,192.168.137.186,31.3.237.190,benign,31.3.237.190,117
1553154636.84308,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154636.845857,192.168.137.186,31.3.237.190,benign,31.3.237.190,740
1553154636.982008,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154636.987653,31.3.237.190,192.168.137.186,benign,31.3.237.190,275
1553154636.987791,31.3.237.190,192.168.137.186,benign,31.3.237.190,97
1553154636.989205,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154636.991602,192.168.137.186,31.3.237.190,benign,31.3.237.190,97
1553154636.991604,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154636.995292,192.168.137.186,31.3.237.190,benign,31.3.237.190,74
1553154637.128423,31.3.237.190,192.168.137.186,benign,31.3.237.190,54
1553154637.136284,31.3.237.190,192.168.137.186,benign,31.3.237.190,74
1553154637.141172,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154637.141173,192.168.137.186,31.3.237.190,benign,31.3.237.190,583
1553154637.286571,31.3.237.190,192.168.137.186,benign,31.3.237.190,207
1553154637.289618,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154637.289619,192.168.137.186,31.3.237.190,benign,31.3.237.190,117
1553154637.469331,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154637.47373,192.168.137.186,31.3.237.190,benign,31.3.237.190,741
1553154637.607697,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154637.615166,31.3.237.190,192.168.137.186,benign,31.3.237.190,641
1553154637.615375,31.3.237.190,192.168.137.186,benign,31.3.237.190,97
1553154637.617318,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154637.618,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154637.619493,192.168.137.186,31.3.237.190,benign,31.3.237.190,97
1553154637.619494,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154637.623357,192.168.137.186,31.3.237.190,benign,31.3.237.190,54
1553154637.626721,192.168.137.186,31.3.237.190,benign,31.3.237.190,74
1553154637.757296,31.3.237.190,192.168.137.186,benign,31.3.237.190,54
1553154637.769357,31.3.237.190,192.168.137.186,benign,31.3.237.190,74
1553154637.772337,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154637.773642,192.168.137.186,31.3.237.190,benign,31.3.237.190,583
1553154637.916483,31.3.237.190,192.168.137.186,benign,31.3.237.190,207
1553154637.919184,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154637.919185,192.168.137.186,31.3.237.190,benign,31.3.237.190,117
1553154638.099311,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154638.10206,192.168.137.186,31.3.237.190,benign,31.3.237.190,739
1553154638.238373,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154638.243307,31.3.237.190,192.168.137.186,benign,31.3.237.190,275
1553154638.243456,31.3.237.190,192.168.137.186,benign,31.3.237.190,97
1553154638.244444,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154638.246574,192.168.137.186,31.3.237.190,benign,31.3.237.190,97
1553154638.246575,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154638.251173,192.168.137.186,31.3.237.190,benign,31.3.237.190,74
1553154638.383345,31.3.237.190,192.168.137.186,benign,31.3.237.190,54
1553154638.391339,31.3.237.190,192.168.137.186,benign,31.3.237.190,74
1553154638.393803,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154638.393804,192.168.137.186,31.3.237.190,benign,31.3.237.190,583
1553154638.536633,31.3.237.190,192.168.137.186,benign,31.3.237.190,207
1553154638.539513,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154638.539514,192.168.137.186,31.3.237.190,benign,31.3.237.190,117
1553154638.71756,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154638.719899,192.168.137.186,31.3.237.190,benign,31.3.237.190,742
1553154638.854831,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154638.875392,31.3.237.190,192.168.137.186,benign,31.3.237.190,275
1553154638.875575,31.3.237.190,192.168.137.186,benign,31.3.237.190,97
1553154638.876651,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154638.880329,192.168.137.186,31.3.237.190,benign,31.3.237.190,97
1553154638.880331,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154638.891857,192.168.137.186,31.3.237.190,benign,31.3.237.190,74
1553154639.016467,31.3.237.190,192.168.137.186,benign,31.3.237.190,54
1553154639.029695,31.3.237.190,192.168.137.186,benign,31.3.237.190,74
1553154639.03415,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154639.036749,192.168.137.186,31.3.237.190,benign,31.3.237.190,583
1553154639.176815,31.3.237.190,192.168.137.186,benign,31.3.237.190,207
1553154639.179193,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154639.179194,192.168.137.186,31.3.237.190,benign,31.3.237.190,117
1553154639.358591,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154639.361145,192.168.137.186,31.3.237.190,benign,31.3.237.190,742
1553154639.495917,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154639.511861,31.3.237.190,192.168.137.186,benign,31.3.237.190,271
1553154639.512042,31.3.237.190,192.168.137.186,benign,31.3.237.190,97
1553154639.512755,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154639.517117,192.168.137.186,31.3.237.190,benign,31.3.237.190,97
1553154639.517118,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154639.526844,192.168.137.186,31.3.237.190,benign,31.3.237.190,74
1553154639.652543,31.3.237.190,192.168.137.186,benign,31.3.237.190,54
1553154639.664538,31.3.237.190,192.168.137.186,benign,31.3.237.190,74
1553154639.666894,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154639.668206,192.168.137.186,31.3.237.190,benign,31.3.237.190,583
1553154639.808726,31.3.237.190,192.168.137.186,benign,31.3.237.190,207
1553154639.812011,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154639.812011,192.168.137.186,31.3.237.190,benign,31.3.237.190,117
1553154639.988607,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154639.997407,192.168.137.186,31.3.237.190,benign,31.3.237.190,740
1553154640.131098,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154640.13724,31.3.237.190,192.168.137.186,benign,31.3.237.190,815
1553154640.13732,31.3.237.190,192.168.137.186,benign,31.3.237.190,97
1553154640.138863,31.3.237.190,192.168.137.186,benign,31.3.237.190,66
1553154640.140923,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154640.140923,192.168.137.186,31.3.237.190,benign,31.3.237.190,97
1553154640.142407,192.168.137.186,31.3.237.190,benign,31.3.237.190,66
1553154640.274904,31.3.237.190,192.168.137.186,benign,31.3.237.190,54
1553154641.287711,192.168.137.186,52.84.50.251,benign,52.84.50.251,74
1553154641.31713,52.84.50.251,192.168.137.186,benign,52.84.50.251,74
1553154641.319731,192.168.137.186,52.84.50.251,benign,52.84.50.251,66
1553154641.321154,192.168.137.186,52.84.50.251,benign,52.84.50.251,248
1553154641.354272,52.84.50.251,192.168.137.186,benign,52.84.50.251,66
1553154641.354494,52.84.50.251,192.168.137.186,benign,52.84.50.251,181
1553154641.355285,52.84.50.251,192.168.137.186,benign,52.84.50.251,1514
1553154641.355971,52.84.50.251,192.168.137.186,benign,52.84.50.251,1514
1553154641.356186,52.84.50.251,192.168.137.186,benign,52.84.50.251,1514
1553154641.356277,52.84.50.251,192.168.137.186,benign,52.84.50.251,1514
1553154641.357571,192.168.137.186,52.84.50.251,benign,52.84.50.251,66
1553154641.357572,192.168.137.186,52.84.50.251,benign,52.84.50.251,66
1553154641.357573,192.168.137.186,52.84.50.251,benign,52.84.50.251,66
1553154641.358999,192.168.137.186,52.84.50.251,benign,52.84.50.251,66
1553154641.359,192.168.137.186,52.84.50.251,benign,52.84.50.251,66
