Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.186,52.71.9.24,74,1553164819.770378
tracking,205.185.208.52,192.168.137.186,66,1553164819.770862
tracking,205.185.208.52,192.168.137.186,308,1553164819.771168
benign,192.168.137.186,24.244.3.27,66,1553164819.808342
tracking,192.168.137.186,205.185.208.52,470,1553164819.811281
benign,24.244.3.27,192.168.137.186,66,1553164819.816745
tracking,205.185.208.52,192.168.137.186,577,1553164819.843618
tracking,205.185.208.52,192.168.137.186,1514,1553164819.843939
tracking,205.185.208.52,192.168.137.186,1514,1553164819.844024
tracking,205.185.208.52,192.168.137.186,1514,1553164819.844127
tracking,205.185.208.52,192.168.137.186,1514,1553164819.844174
tracking,205.185.208.52,192.168.137.186,1514,1553164819.844246
tracking,205.185.208.52,192.168.137.186,1514,1553164819.844289
tracking,205.185.208.52,192.168.137.186,1514,1553164819.844359
tracking,205.185.208.52,192.168.137.186,1514,1553164819.844442
tracking,205.185.208.52,192.168.137.186,1514,1553164819.844552
tracking,205.185.208.52,192.168.137.186,1514,1553164819.844598
tracking,205.185.208.52,192.168.137.186,1514,1553164819.844666
tracking,205.185.208.52,192.168.137.186,1514,1553164819.844707
tracking,205.185.208.52,192.168.137.186,1514,1553164819.844773
tracking,205.185.208.52,192.168.137.186,1514,1553164819.844843
tracking,205.185.208.52,192.168.137.186,1514,1553164819.844918
tracking,205.185.208.52,192.168.137.186,1514,1553164819.844965
tracking,205.185.208.52,192.168.137.186,1514,1553164819.845063
tracking,205.185.208.52,192.168.137.186,1514,1553164819.845136
tracking,205.185.208.52,192.168.137.186,1514,1553164819.845181
tracking,205.185.208.52,192.168.137.186,1514,1553164819.845252
tracking,205.185.208.52,192.168.137.186,1514,1553164819.845326
tracking,205.185.208.52,192.168.137.186,1514,1553164819.8454
tracking,205.185.208.52,192.168.137.186,1069,1553164819.845441
tracking,192.168.137.186,205.185.208.52,66,1553164819.84719
tracking,192.168.137.186,205.185.208.52,66,1553164819.84719
tracking,192.168.137.186,205.185.208.52,66,1553164819.847191
tracking,192.168.137.186,205.185.208.52,66,1553164819.847191
tracking,192.168.137.186,205.185.208.52,66,1553164819.848768
tracking,192.168.137.186,205.185.208.52,66,1553164819.848768
tracking,192.168.137.186,205.185.208.52,66,1553164819.848768
tracking,192.168.137.186,205.185.208.52,66,1553164819.848769
tracking,192.168.137.186,205.185.208.52,66,1553164819.848769
tracking,192.168.137.186,205.185.208.52,66,1553164819.84877
tracking,192.168.137.186,205.185.208.52,66,1553164819.84877
tracking,192.168.137.186,205.185.208.52,66,1553164819.848771
benign,52.71.9.24,192.168.137.186,91,1553164819.852942
benign,52.71.9.24,192.168.137.186,74,1553164819.854553
benign,192.168.137.186,52.71.9.24,66,1553164819.855765
benign,192.168.137.186,52.71.9.24,66,1553164819.855766
benign,192.168.137.186,52.71.9.24,689,1553164819.85959
benign,52.48.133.124,192.168.137.186,117,1553164819.916029
benign,192.168.137.186,52.48.133.124,66,1553164819.918179
benign,192.168.137.186,52.48.133.124,1514,1553164819.925586
benign,192.168.137.186,52.48.133.124,99,1553164819.925587
benign,52.71.9.24,192.168.137.186,609,1553164819.941691
benign,52.71.9.24,192.168.137.186,66,1553164819.945087
benign,192.168.137.186,52.71.9.24,66,1553164819.946116
benign,52.71.9.24,192.168.137.186,91,1553164819.954613
benign,192.168.137.186,157.240.3.20,1464,1553164819.955501
benign,192.168.137.186,157.240.3.20,1464,1553164819.955502
benign,192.168.137.186,52.71.9.24,66,1553164819.956966
benign,192.168.137.186,157.240.3.20,477,1553164819.956968
benign,157.240.3.20,192.168.137.186,66,1553164819.987023
benign,157.240.3.20,192.168.137.186,66,1553164819.991138
benign,52.71.9.24,192.168.137.186,609,1553164820.041914
benign,192.168.137.186,52.71.9.24,66,1553164820.044207
benign,192.168.137.186,52.4.227.176,97,1553164820.052442
benign,157.240.3.20,192.168.137.186,1464,1553164820.067255
benign,157.240.3.20,192.168.137.186,791,1553164820.0675
benign,192.168.137.186,157.240.3.20,66,1553164820.069619
benign,52.48.133.124,192.168.137.186,66,1553164820.078787
benign,192.168.137.186,24.244.3.27,74,1553164820.079261
ads,192.168.137.186,35.241.22.100,97,1553164820.079262
benign,52.48.133.124,192.168.137.186,294,1553164820.087921
benign,24.244.3.27,192.168.137.186,74,1553164820.090547
benign,192.168.137.186,52.44.242.36,97,1553164820.092763
benign,192.168.137.186,24.244.3.27,66,1553164820.092764
benign,192.168.137.186,24.244.3.27,583,1553164820.094228
benign,24.244.3.27,192.168.137.186,66,1553164820.109684
ads,35.241.22.100,192.168.137.186,66,1553164820.117196
ads,35.241.22.100,192.168.137.186,66,1553164820.117419
