timestamp,src ip,dst ip,service,domain,frame size
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553836946.576673,192.168.137.46,3.88.88.238,benign,,452
1553836946.579063,192.168.137.46,3.88.88.238,benign,,1514
1553836946.579356,192.168.137.46,3.88.88.238,benign,,1514
1553836946.665825,3.88.88.238,192.168.137.46,benign,,66
1553836946.667455,192.168.137.46,3.88.88.238,benign,,495
1553836946.758929,3.88.88.238,192.168.137.46,benign,,460
1553836946.760295,192.168.137.46,3.88.88.238,benign,,66
1553836954.170772,192.168.137.46,3.88.88.238,benign,,452
1553836954.171804,192.168.137.46,3.88.88.238,benign,,1514
1553836954.172725,192.168.137.46,3.88.88.238,benign,,1514
1553836954.262402,3.88.88.238,192.168.137.46,benign,,66
1553836954.263658,192.168.137.46,3.88.88.238,benign,,630
1553836954.353209,3.88.88.238,192.168.137.46,benign,,460
1553836954.354896,192.168.137.46,3.88.88.238,benign,,66
1553836955.012371,192.168.137.46,172.217.3.211,benign,,74
1553836955.014248,192.168.137.46,172.217.3.211,benign,,74
1553836955.045508,172.217.3.211,192.168.137.46,benign,,74
1553836955.046684,192.168.137.46,172.217.3.211,benign,,66
1553836955.04776,192.168.137.46,172.217.3.211,benign,,583
1553836955.050271,172.217.3.211,192.168.137.46,benign,,74
1553836955.051427,192.168.137.46,172.217.3.211,benign,,66
1553836955.052222,192.168.137.46,172.217.3.211,benign,,583
1553836955.084509,172.217.3.211,192.168.137.46,benign,,66
1553836955.089486,172.217.3.211,192.168.137.46,benign,,66
1553836955.097225,172.217.3.211,192.168.137.46,benign,,1484
1553836955.097305,172.217.3.211,192.168.137.46,benign,,1484
1553836955.097335,172.217.3.211,192.168.137.46,benign,,543
1553836955.098245,192.168.137.46,172.217.3.211,benign,,66
1553836955.098517,192.168.137.46,172.217.3.211,benign,,66
1553836955.099914,192.168.137.46,172.217.3.211,benign,,66
1553836955.10231,172.217.3.211,192.168.137.46,benign,,1484
1553836955.102396,172.217.3.211,192.168.137.46,benign,,1484
1553836955.103042,172.217.3.211,192.168.137.46,benign,,543
1553836955.104106,192.168.137.46,172.217.3.211,benign,,66
1553836955.104549,192.168.137.46,172.217.3.211,benign,,66
1553836955.104701,192.168.137.46,172.217.3.211,benign,,66
1553836955.140037,192.168.137.46,172.217.3.211,benign,,159
1553836955.14195,192.168.137.46,172.217.3.211,benign,,159
1553836955.180624,172.217.3.211,192.168.137.46,benign,,117
1553836955.180705,172.217.3.211,192.168.137.46,benign,,135
1553836955.18221,172.217.3.211,192.168.137.46,benign,,117
1553836955.182296,172.217.3.211,192.168.137.46,benign,,135
1553836955.182392,192.168.137.46,172.217.3.211,benign,,66
1553836955.182802,192.168.137.46,172.217.3.211,benign,,66
1553836955.220683,192.168.137.46,172.217.3.211,benign,,66
1553836956.981671,23.21.164.128,192.168.137.46,benign,,97
1553836957.482562,23.21.164.128,192.168.137.46,benign,,97
1553836957.550413,192.168.137.46,23.21.164.128,benign,,66
1553836957.550956,192.168.137.46,23.21.164.128,benign,,78
1553836961.992435,23.21.164.128,192.168.137.46,benign,,66
1553836962.50141,192.168.137.46,23.21.164.128,benign,,66
1553836962.569585,23.21.164.128,192.168.137.46,benign,,66
1553836962.570952,192.168.137.46,23.21.164.128,benign,,78
1553836974.337205,192.168.137.46,3.88.88.238,benign,,452
1553836974.338364,192.168.137.46,3.88.88.238,benign,,1514
1553836974.338686,192.168.137.46,3.88.88.238,benign,,1514
1553836974.427877,3.88.88.238,192.168.137.46,benign,,66
1553836974.429736,192.168.137.46,3.88.88.238,benign,,538
1553836974.521802,3.88.88.238,192.168.137.46,benign,,460
1553836974.522938,192.168.137.46,3.88.88.238,benign,,66
1553836975.495552,192.168.137.46,3.88.88.238,benign,,1394
1553836975.588992,3.88.88.238,192.168.137.46,benign,,460
1553836975.590557,192.168.137.46,3.88.88.238,benign,,66
1553836979.716436,192.168.137.46,172.217.3.211,benign,,66
1553836979.71661,192.168.137.46,172.217.3.211,benign,,66
1553836979.719245,192.168.137.46,172.217.3.211,benign,,74
1553836979.720034,192.168.137.46,172.217.3.211,benign,,74
1553836979.750569,172.217.3.211,192.168.137.46,benign,,74
1553836979.751855,192.168.137.46,172.217.3.211,benign,,66
1553836979.753109,192.168.137.46,172.217.3.211,benign,,583
1553836979.75547,172.217.3.211,192.168.137.46,benign,,74
1553836979.756657,192.168.137.46,172.217.3.211,benign,,66
1553836979.757625,192.168.137.46,172.217.3.211,benign,,583
1553836979.786806,172.217.3.211,192.168.137.46,benign,,66
1553836979.795847,172.217.3.211,192.168.137.46,benign,,66
1553836979.796675,172.217.3.211,192.168.137.46,benign,,1484
1553836979.796775,172.217.3.211,192.168.137.46,benign,,1484
1553836979.796872,172.217.3.211,192.168.137.46,benign,,543
1553836979.798125,192.168.137.46,172.217.3.211,benign,,66
1553836979.80031,192.168.137.46,172.217.3.211,benign,,66
1553836979.801381,192.168.137.46,172.217.3.211,benign,,66
1553836979.801577,192.168.137.46,172.217.3.211,benign,,159
1553836979.804643,172.217.3.211,192.168.137.46,benign,,1484
1553836979.804716,172.217.3.211,192.168.137.46,benign,,1484
1553836979.805792,192.168.137.46,172.217.3.211,benign,,66
1553836979.806011,192.168.137.46,172.217.3.211,benign,,66
1553836979.806022,172.217.3.211,192.168.137.46,benign,,543
1553836979.807252,192.168.137.46,172.217.3.211,benign,,66
1553836979.808821,192.168.137.46,172.217.3.211,benign,,159
1553836979.838684,172.217.3.211,192.168.137.46,benign,,117
1553836979.838761,172.217.3.211,192.168.137.46,benign,,135
1553836979.84621,172.217.3.211,192.168.137.46,benign,,117
1553836979.846306,172.217.3.211,192.168.137.46,benign,,135
1553836979.877783,192.168.137.46,172.217.3.211,benign,,66
1553836979.884438,192.168.137.46,172.217.3.211,benign,,66
1553836979.903753,172.217.3.211,192.168.137.46,benign,,135
1553836979.905104,192.168.137.46,172.217.3.211,benign,,78
1553836980.442954,54.243.100.122,192.168.137.46,benign,,97
1553836980.590242,192.168.137.46,54.243.100.122,benign,,66
1553836985.460555,54.243.100.122,192.168.137.46,benign,,66
1553836985.674471,192.168.137.46,54.243.100.122,benign,,66
1553836986.111592,192.168.137.46,23.21.164.128,benign,,97
1553836986.111879,192.168.137.46,23.21.164.128,benign,,66
1553836986.139293,192.168.137.46,54.243.172.129,benign,,74
1553836986.19573,23.21.164.128,192.168.137.46,benign,,54
1553836986.199709,23.21.164.128,192.168.137.46,benign,,54
1553836986.228841,54.243.172.129,192.168.137.46,benign,,74
1553836986.230152,192.168.137.46,54.243.172.129,benign,,66
1553836986.231409,192.168.137.46,54.243.172.129,benign,,281
1553836986.322841,54.243.172.129,192.168.137.46,benign,,66
1553836986.323688,54.243.172.129,192.168.137.46,benign,,1514
1553836986.324769,192.168.137.46,54.243.172.129,benign,,66
1553836986.324784,54.243.172.129,192.168.137.46,benign,,1514
1553836986.324914,54.243.172.129,192.168.137.46,benign,,1266
1553836986.325336,54.243.172.129,192.168.137.46,benign,,1514
1553836986.325415,54.243.172.129,192.168.137.46,benign,,391
1553836986.325968,192.168.137.46,54.243.172.129,benign,,66
1553836986.326782,192.168.137.46,54.243.172.129,benign,,66
1553836986.327835,192.168.137.46,54.243.172.129,benign,,66
1553836986.328417,192.168.137.46,54.243.172.129,benign,,66
1553836986.342944,192.168.137.46,54.243.172.129,benign,,192
1553836986.428482,54.243.172.129,192.168.137.46,benign,,117
1553836986.432274,192.168.137.46,54.243.172.129,benign,,1514
1553836986.432776,192.168.137.46,54.243.172.129,benign,,569
1553836986.522976,54.243.172.129,192.168.137.46,benign,,66
1553836986.523891,54.243.172.129,192.168.137.46,benign,,194
1553836986.564694,192.168.137.46,54.243.172.129,benign,,66
1553836989.530274,192.168.137.46,3.88.88.238,benign,,452
1553836989.530779,192.168.137.46,3.88.88.238,benign,,1514
1553836989.531174,192.168.137.46,3.88.88.238,benign,,1514
1553836989.621263,3.88.88.238,192.168.137.46,benign,,66
1553836989.622731,192.168.137.46,3.88.88.238,benign,,599
1553836989.713332,3.88.88.238,192.168.137.46,benign,,459
1553836989.714537,192.168.137.46,3.88.88.238,benign,,66
1553836998.087975,192.168.137.46,3.88.88.238,benign,,452
1553836998.088188,192.168.137.46,3.88.88.238,benign,,1514
1553836998.088701,192.168.137.46,3.88.88.238,benign,,1514
1553836998.178809,3.88.88.238,192.168.137.46,benign,,66
1553836998.17997,192.168.137.46,3.88.88.238,benign,,397
1553836998.271729,3.88.88.238,192.168.137.46,benign,,460
1553836998.273466,192.168.137.46,3.88.88.238,benign,,66
1553837005.122467,192.168.137.46,172.217.3.211,benign,,66
1553837005.122805,192.168.137.46,172.217.3.211,benign,,66
1553837005.153489,192.168.137.46,172.217.3.211,benign,,74
1553837005.154185,192.168.137.46,172.217.3.211,benign,,74
1553837005.18295,172.217.3.211,192.168.137.46,benign,,74
1553837005.184213,192.168.137.46,172.217.3.211,benign,,66
1553837005.186044,192.168.137.46,172.217.3.211,benign,,583
1553837005.188712,172.217.3.211,192.168.137.46,benign,,74
1553837005.189923,192.168.137.46,172.217.3.211,benign,,66
1553837005.191078,192.168.137.46,172.217.3.211,benign,,583
