timestamp,src ip,dst ip,service,domain,frame size
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553848071.032209,192.168.137.46,45.60.110.19,benign,,74
1553848071.055997,45.60.110.19,192.168.137.46,benign,,74
1553848071.057359,192.168.137.46,45.60.110.19,benign,,66
1553848071.06092,192.168.137.46,45.60.110.19,benign,,266
1553848071.085084,45.60.110.19,192.168.137.46,benign,,66
1553848071.085935,45.60.110.19,192.168.137.46,benign,,1514
1553848071.086959,45.60.110.19,192.168.137.46,benign,,1514
1553848071.087133,45.60.110.19,192.168.137.46,benign,,1266
1553848071.087358,45.60.110.19,192.168.137.46,benign,,779
1553848071.087526,192.168.137.46,45.60.110.19,benign,,66
1553848071.08812,192.168.137.46,45.60.110.19,benign,,66
1553848071.091847,192.168.137.46,45.60.110.19,benign,,66
1553848071.092005,192.168.137.46,45.60.110.19,benign,,66
1553848071.102931,192.168.137.46,45.60.110.19,benign,,192
1553848071.124774,45.60.110.19,192.168.137.46,benign,,340
1553848071.124832,45.60.110.19,192.168.137.46,benign,,129
1553848071.126328,192.168.137.46,45.60.110.19,benign,,500
1553848071.147223,45.60.110.19,192.168.137.46,benign,,104
1553848071.149006,192.168.137.46,45.60.110.19,benign,,104
1553848071.192986,45.60.110.19,192.168.137.46,benign,,591
1553848071.193068,45.60.110.19,192.168.137.46,benign,,104
1553848071.196775,192.168.137.46,45.60.110.19,benign,,66
1553848073.791715,54.225.136.32,192.168.137.46,benign,,97
1553848074.009688,192.168.137.46,54.225.136.32,benign,,66
1553848078.800317,54.225.136.32,192.168.137.46,benign,,66
1553848078.989246,192.168.137.46,54.225.136.32,benign,,66
1553848079.13526,192.168.137.46,45.60.110.19,benign,,147
1553848079.194621,45.60.110.19,192.168.137.46,benign,,66
1553848079.397755,45.60.110.19,192.168.137.46,benign,,661
1553848079.397894,45.60.110.19,192.168.137.46,benign,,104
1553848079.449292,45.60.110.19,192.168.137.46,benign,,104
1553848079.539483,192.168.137.46,45.60.110.19,benign,,78
