Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.186,13.32.252.108,159,1553162976.516495
benign,192.168.137.186,13.32.252.108,930,1553162976.518066
benign,13.32.252.5,192.168.137.186,74,1553162976.522941
benign,192.168.137.186,13.32.252.5,66,1553162976.525082
benign,192.168.137.186,13.32.252.5,583,1553162976.525082
benign,13.32.252.108,192.168.137.186,324,1553162976.531941
benign,13.32.252.108,192.168.137.186,135,1553162976.531992
benign,192.168.137.186,13.32.252.108,66,1553162976.534168
benign,192.168.137.186,13.32.252.108,104,1553162976.534168
benign,13.32.252.249,192.168.137.186,66,1553162976.541257
benign,13.32.252.108,192.168.137.186,104,1553162976.546552
benign,13.32.252.5,192.168.137.186,66,1553162976.564405
benign,13.32.252.5,192.168.137.186,1514,1553162976.567024
benign,13.32.252.5,192.168.137.186,1514,1553162976.567109
benign,13.32.252.5,192.168.137.186,1514,1553162976.567154
benign,13.32.252.5,192.168.137.186,1514,1553162976.567191
benign,13.32.252.5,192.168.137.186,1514,1553162976.567224
benign,13.32.252.5,192.168.137.186,244,1553162976.567291
benign,13.32.252.108,192.168.137.186,66,1553162976.568015
benign,192.168.137.186,13.32.252.5,66,1553162976.569087
benign,192.168.137.186,13.32.252.5,66,1553162976.569087
benign,192.168.137.186,13.32.252.5,66,1553162976.569088
benign,192.168.137.186,13.32.252.5,66,1553162976.569088
benign,192.168.137.186,13.32.252.5,66,1553162976.569089
benign,192.168.137.186,13.32.252.5,66,1553162976.569089
benign,192.168.137.186,13.32.252.5,192,1553162976.572835
benign,192.168.137.186,13.32.252.5,159,1553162976.583427
benign,192.168.137.186,13.32.252.5,931,1553162976.585052
benign,192.168.137.186,13.32.252.108,66,1553162976.588173
benign,13.32.252.249,192.168.137.186,284,1553162976.605469
benign,13.32.252.5,192.168.137.186,324,1553162976.605589
benign,13.32.252.5,192.168.137.186,135,1553162976.605639
benign,13.32.252.249,192.168.137.186,280,1553162976.606544
benign,13.32.252.249,192.168.137.186,284,1553162976.607049
benign,13.32.252.249,192.168.137.186,280,1553162976.608219
benign,13.32.252.249,192.168.137.186,280,1553162976.608494
benign,13.32.252.249,192.168.137.186,281,1553162976.608768
benign,13.32.252.249,192.168.137.186,281,1553162976.609422
benign,192.168.137.186,13.32.252.249,66,1553162976.609576
benign,13.32.252.249,192.168.137.186,280,1553162976.609695
benign,13.32.252.249,192.168.137.186,282,1553162976.61012
benign,13.32.252.249,192.168.137.186,281,1553162976.610844
benign,13.32.252.249,192.168.137.186,284,1553162976.612248
benign,13.32.252.249,192.168.137.186,280,1553162976.612378
benign,192.168.137.186,13.32.252.249,66,1553162976.612399
benign,13.32.252.249,192.168.137.186,281,1553162976.613014
benign,13.32.252.5,192.168.137.186,104,1553162976.613295
benign,192.168.137.186,13.32.252.249,66,1553162976.62028
benign,192.168.137.186,13.32.252.5,66,1553162976.626253
benign,13.32.252.249,192.168.137.186,280,1553162976.62877
benign,192.168.137.186,13.32.252.5,104,1553162976.629788
benign,23.36.177.4,192.168.137.186,745,1553162976.643443
benign,192.168.137.186,23.36.177.4,66,1553162976.645438
benign,13.32.252.5,192.168.137.186,66,1553162976.656122
benign,192.168.137.186,13.32.252.249,66,1553162976.668203
benign,13.32.252.5,192.168.137.186,66,1553162976.708217
benign,13.32.252.5,192.168.137.186,1514,1553162976.8634
