Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.46,157.240.3.35,423,1553839736.95336
benign,192.168.137.46,157.240.3.35,441,1553839736.958256
benign,157.240.3.35,192.168.137.46,101,1553839736.982551
benign,192.168.137.46,157.240.3.35,66,1553839736.983796
benign,157.240.3.35,192.168.137.46,101,1553839736.99657
benign,192.168.137.46,157.240.3.35,66,1553839736.998045
benign,157.240.3.35,192.168.137.46,554,1553839737.031439
benign,192.168.137.46,157.240.3.35,66,1553839737.032479
benign,157.240.3.35,192.168.137.46,329,1553839737.05251
benign,192.168.137.46,157.240.3.35,66,1553839737.053596
benign,192.168.137.46,157.240.3.35,1464,1553839737.676009
benign,192.168.137.46,157.240.3.35,1464,1553839737.676244
benign,192.168.137.46,157.240.3.35,1464,1553839737.676719
benign,192.168.137.46,157.240.3.35,1464,1553839737.67696
benign,192.168.137.46,157.240.3.35,849,1553839737.677419
benign,157.240.3.35,192.168.137.46,66,1553839737.704177
benign,157.240.3.35,192.168.137.46,101,1553839737.704326
benign,192.168.137.46,157.240.3.35,66,1553839737.705896
benign,157.240.3.35,192.168.137.46,66,1553839737.709886
benign,157.240.3.35,192.168.137.46,66,1553839737.750821
benign,157.240.3.35,192.168.137.46,380,1553839737.760522
benign,192.168.137.46,157.240.3.35,66,1553839737.761529
benign,192.168.137.46,157.240.3.35,567,1553839744.331172
benign,157.240.3.35,192.168.137.46,101,1553839744.361908
benign,192.168.137.46,157.240.3.35,66,1553839744.363684
benign,157.240.3.35,192.168.137.46,1018,1553839748.35957
benign,157.240.3.35,192.168.137.46,1018,1553839748.449507
benign,157.240.3.35,192.168.137.46,1018,1553839748.536147
benign,157.240.3.35,192.168.137.46,1018,1553839748.712011
benign,192.168.137.46,157.240.3.35,66,1553839748.81273
benign,192.168.137.46,157.240.3.35,78,1553839748.814483
benign,192.168.137.46,157.240.3.35,423,1553839750.047209
benign,192.168.137.46,157.240.3.35,441,1553839750.050013
benign,157.240.3.35,192.168.137.46,101,1553839750.076739
benign,192.168.137.46,157.240.3.35,66,1553839750.078185
benign,157.240.3.35,192.168.137.46,66,1553839750.08276
benign,157.240.3.35,192.168.137.46,101,1553839750.083433
benign,192.168.137.46,157.240.3.35,66,1553839750.084352
benign,157.240.3.35,192.168.137.46,547,1553839750.126629
benign,192.168.137.46,157.240.3.35,66,1553839750.127718
benign,157.240.3.35,192.168.137.46,329,1553839750.138713
benign,192.168.137.46,157.240.3.35,66,1553839750.139905
benign,192.168.137.46,157.240.3.35,1464,1553839756.404855
benign,192.168.137.46,157.240.3.35,558,1553839756.405428
benign,157.240.3.35,192.168.137.46,66,1553839756.440855
benign,157.240.3.35,192.168.137.46,101,1553839756.441669
benign,192.168.137.46,157.240.3.35,66,1553839756.443348
benign,157.240.3.35,192.168.137.46,383,1553839756.492816
benign,192.168.137.46,157.240.3.35,66,1553839756.494014
benign,192.168.137.46,157.240.3.35,423,1553839758.443784
benign,192.168.137.46,157.240.3.35,441,1553839758.447527
benign,157.240.3.35,192.168.137.46,101,1553839758.474407
benign,192.168.137.46,157.240.3.35,66,1553839758.47565
benign,157.240.3.35,192.168.137.46,101,1553839758.480455
benign,192.168.137.46,157.240.3.35,66,1553839758.481755
benign,157.240.3.35,192.168.137.46,550,1553839758.523251
benign,192.168.137.46,157.240.3.35,66,1553839758.525217
benign,157.240.3.35,192.168.137.46,327,1553839758.536119
benign,192.168.137.46,157.240.3.35,66,1553839758.537075
benign,192.168.137.46,157.240.3.35,448,1553839762.215616
benign,192.168.137.46,66.220.149.254,74,1553839762.238576
benign,157.240.3.35,192.168.137.46,101,1553839762.246064
benign,192.168.137.46,157.240.3.35,66,1553839762.247245
benign,157.240.3.35,192.168.137.46,386,1553839762.297836
benign,192.168.137.46,157.240.3.35,66,1553839762.298929
benign,66.220.149.254,192.168.137.46,74,1553839762.310922
benign,192.168.137.46,66.220.149.254,66,1553839762.312345
benign,192.168.137.46,66.220.149.254,599,1553839762.314366
benign,66.220.149.254,192.168.137.46,66,1553839762.389918
benign,66.220.149.254,192.168.137.46,831,1553839762.439722
benign,192.168.137.46,66.220.149.254,66,1553839762.440725
benign,192.168.137.46,157.240.3.35,441,1553839762.642534
benign,192.168.137.46,157.240.3.35,423,1553839762.643377
benign,157.240.3.35,192.168.137.46,101,1553839762.669278
benign,192.168.137.46,157.240.3.35,66,1553839762.670783
benign,157.240.3.35,192.168.137.46,101,1553839762.675958
benign,192.168.137.46,157.240.3.35,66,1553839762.677017
benign,157.240.3.35,192.168.137.46,545,1553839762.725939
benign,192.168.137.46,157.240.3.35,66,1553839762.727
benign,157.240.3.35,192.168.137.46,304,1553839762.728884
benign,192.168.137.46,157.240.3.35,66,1553839762.730003
benign,192.168.137.46,157.240.3.35,1464,1553839763.303442
benign,192.168.137.46,157.240.3.35,765,1553839763.303998
benign,157.240.3.35,192.168.137.46,66,1553839763.33132
benign,157.240.3.35,192.168.137.46,101,1553839763.331582
benign,192.168.137.46,157.240.3.35,66,1553839763.332534
benign,157.240.3.35,192.168.137.46,382,1553839763.381931
benign,192.168.137.46,157.240.3.35,66,1553839763.383286
benign,192.168.137.46,157.240.3.35,418,1553839765.340826
benign,192.168.137.46,66.220.149.254,599,1553839765.341074
benign,157.240.3.35,192.168.137.46,101,1553839765.370549
benign,192.168.137.46,157.240.3.35,66,1553839765.371783
benign,66.220.149.254,192.168.137.46,66,1553839765.418333
benign,157.240.3.35,192.168.137.46,354,1553839765.42732
benign,192.168.137.46,157.240.3.35,66,1553839765.428533
benign,66.220.149.254,192.168.137.46,831,1553839765.46441
benign,192.168.137.46,66.220.149.254,66,1553839765.465665
benign,192.168.137.46,157.240.3.35,441,1553839776.373409
benign,192.168.137.46,157.240.3.35,423,1553839776.3738
