Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
216.58.193.78,benign,192.168.137.108,216.58.193.78,65,1552734805.308327
216.58.193.78,benign,192.168.137.108,216.58.193.78,65,1552734805.360051
216.58.193.78,benign,216.58.193.78,192.168.137.108,62,1552734805.361583
216.58.193.78,benign,216.58.193.78,192.168.137.108,62,1552734805.412442
216.58.193.78,benign,192.168.137.108,216.58.193.78,65,1552734805.911194
216.58.193.78,benign,216.58.193.78,192.168.137.108,62,1552734805.963407
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734810.162707
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734810.162911
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734810.66357
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734810.663704
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734811.151343
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734811.15153
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734811.254495
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734811.254686
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734811.763875
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734811.764045
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552734811.768579
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734812.264622
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734812.264832
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734823.38028
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734823.380497
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734823.891129
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734823.89141
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734824.392277
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734824.39248
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734824.481045
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734824.481247
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734824.991813
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734824.99203
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734825.494275
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734825.494487
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734837.013338
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734837.013558
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734837.513786
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734837.513871
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734838.015295
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734838.015449
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734838.105961
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734838.106072
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734838.611837
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734838.612046
192.168.137.1,benign,192.168.137.108,192.168.137.1,98,1552734839.116685
192.168.137.108,benign,192.168.137.1,192.168.137.108,98,1552734839.11689
74.125.20.188,benign,192.168.137.108,74.125.20.188,93,1552734839.117156
74.125.20.188,benign,74.125.20.188,192.168.137.108,91,1552734839.156895
74.125.20.188,benign,192.168.137.108,74.125.20.188,66,1552734839.15874
172.217.3.195,benign,192.168.137.108,172.217.3.195,327,1552734840.163152
172.217.3.195,benign,172.217.3.195,192.168.137.108,231,1552734840.192938
172.217.3.195,benign,192.168.137.108,172.217.3.195,66,1552734840.194614
