timestamp,src ip,dst ip,service,domain,frame size
timestamp,src ip,dst ip,Associated Services,Associated Domains,frame size
1553146112.299718,13.32.252.178,192.168.137.186,benign,,565
1553146112.388441,192.168.137.186,13.32.252.178,benign,,66
1553146112.51752,13.32.252.178,192.168.137.186,benign,,223
1553146112.521282,192.168.137.186,13.32.252.178,benign,,66
1553146112.590826,192.168.137.186,24.244.3.26,benign,,262
1553146112.608921,24.244.3.26,192.168.137.186,benign,,1119
1553146112.609293,24.244.3.26,192.168.137.186,benign,,1119
1553146112.609754,24.244.3.26,192.168.137.186,benign,,264
1553146112.611314,192.168.137.186,24.244.3.26,benign,,66
1553146112.611315,192.168.137.186,24.244.3.26,benign,,66
1553146112.611315,192.168.137.186,24.244.3.26,benign,,66
1553146112.628003,192.168.137.186,13.32.252.238,benign,,1169
1553146112.658622,13.32.252.238,192.168.137.186,benign,,66
1553146112.71063,192.168.137.186,107.23.186.52,benign,,74
1553146112.714267,192.168.137.186,13.32.252.9,benign,,74
1553146112.743976,13.32.252.9,192.168.137.186,benign,,74
1553146112.747667,192.168.137.186,13.32.252.9,benign,,66
1553146112.747669,192.168.137.186,13.32.252.9,benign,,583
1553146112.782876,13.32.252.9,192.168.137.186,benign,,66
1553146112.787966,13.32.252.9,192.168.137.186,benign,,1514
1553146112.788187,13.32.252.9,192.168.137.186,benign,,1514
1553146112.788273,13.32.252.9,192.168.137.186,benign,,1514
1553146112.788343,13.32.252.9,192.168.137.186,benign,,1463
1553146112.791439,192.168.137.186,13.32.252.9,benign,,66
1553146112.79282,192.168.137.186,13.32.252.9,benign,,66
1553146112.792821,192.168.137.186,13.32.252.9,benign,,66
1553146112.792822,192.168.137.186,13.32.252.9,benign,,66
1553146112.798149,13.32.252.238,192.168.137.186,benign,,280
1553146112.800672,192.168.137.186,13.32.252.238,benign,,66
1553146112.800673,192.168.137.186,13.32.252.9,benign,,192
1553146112.821244,192.168.137.186,13.32.252.9,benign,,159
1553146112.822883,192.168.137.186,13.32.252.9,benign,,551
1553146112.828307,13.32.252.9,192.168.137.186,benign,,308
1553146112.828495,13.32.252.9,192.168.137.186,benign,,135
1553146112.831003,192.168.137.186,13.32.252.9,benign,,66
1553146112.831004,192.168.137.186,13.32.252.9,benign,,104
1553146112.848202,13.32.252.9,192.168.137.186,benign,,104
1553146112.855983,13.32.252.9,192.168.137.186,benign,,1514
1553146112.856225,13.32.252.9,192.168.137.186,benign,,1514
1553146112.856313,13.32.252.9,192.168.137.186,benign,,1514
1553146112.856434,13.32.252.9,192.168.137.186,benign,,1514
1553146112.856593,13.32.252.9,192.168.137.186,benign,,1514
1553146112.856912,13.32.252.9,192.168.137.186,benign,,1514
1553146112.857654,13.32.252.9,192.168.137.186,benign,,1514
1553146112.857876,13.32.252.9,192.168.137.186,benign,,1514
1553146112.858515,192.168.137.186,13.32.252.9,benign,,66
1553146112.858516,192.168.137.186,13.32.252.9,benign,,66
1553146112.858517,192.168.137.186,13.32.252.9,benign,,66
1553146112.858786,13.32.252.9,192.168.137.186,benign,,1514
1553146112.859002,13.32.252.9,192.168.137.186,benign,,1514
1553146112.860156,13.32.252.9,192.168.137.186,benign,,1514
1553146112.860422,13.32.252.9,192.168.137.186,benign,,1514
1553146112.861358,13.32.252.9,192.168.137.186,benign,,1514
1553146112.86169,13.32.252.9,192.168.137.186,benign,,1514
1553146112.862197,192.168.137.186,13.32.252.9,benign,,66
1553146112.862198,192.168.137.186,13.32.252.9,benign,,66
1553146112.862199,192.168.137.186,13.32.252.9,benign,,66
1553146112.862668,13.32.252.9,192.168.137.186,benign,,1514
1553146112.862981,13.32.252.9,192.168.137.186,benign,,1514
1553146112.863698,192.168.137.186,13.32.252.9,benign,,66
1553146112.863795,13.32.252.9,192.168.137.186,benign,,1514
1553146112.863989,13.32.252.9,192.168.137.186,benign,,1514
1553146112.865328,13.32.252.9,192.168.137.186,benign,,1514
1553146112.865586,13.32.252.9,192.168.137.186,benign,,1514
1553146112.866389,192.168.137.186,13.32.252.9,benign,,66
1553146112.86639,192.168.137.186,13.32.252.9,benign,,66
1553146112.866415,13.32.252.9,192.168.137.186,benign,,1514
1553146112.866672,13.32.252.9,192.168.137.186,benign,,1514
1553146112.86771,13.32.252.9,192.168.137.186,benign,,1514
1553146112.867936,13.32.252.9,192.168.137.186,benign,,1514
